Category	Sub Category	Text	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Work Styles	Independence	Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.	people, 0.75	think, 0.74	making, 0.73	instead, 0.73	trying, 0.73	better, 0.73	learn, 0.72	right, 0.72	understand, 0.72	makes, 0.72	having, 0.72	especially, 0.72	knowing, 0.72	different, 0.71	working, 0.71	person, 0.71	putting, 0.71	reason, 0.71	important, 0.71	wrong, 0.71	getting, 0.71	means, 0.71	thinking, 0.7	taking, 0.7	change, 0.7	looking, 0.7	little, 0.69	difficult, 0.69	matter, 0.69	actually, 0.69
Work Styles	Self Control	Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.	difficult, 0.77	trying, 0.75	keeping, 0.74	having, 0.72	especially, 0.72	knowing, 0.7	letting, 0.7	people, 0.69	usually, 0.69	putting, 0.69	handle, 0.69	understand, 0.69	clearly, 0.69	taking, 0.69	situation, 0.69	dealing, 0.69	instead, 0.69	getting, 0.69	avoid, 0.68	feelings, 0.68	emotions, 0.68	reason, 0.68	anger, 0.68	making, 0.68	think, 0.68	matter, 0.68	right, 0.68	working, 0.68	problems, 0.67	person, 0.67
Work Styles	Attention to Detail	Job requires being careful about detail and thorough in completing work tasks.	working, 0.75	requires, 0.72	taking, 0.68	instead, 0.67	business, 0.67	looking, 0.66	trying, 0.66	getting, 0.66	making, 0.66	tasks, 0.66	today, 0.66	process, 0.66	putting, 0.65	needed, 0.65	having, 0.65	require, 0.64	better, 0.64	gotta, 0.64	successful, 0.64	expect, 0.64	learn, 0.64	especially, 0.64	paying, 0.64	ahead, 0.63	success, 0.63	works, 0.63	experience, 0.63	given, 0.63	giving, 0.63	difficult, 0.63
Work Styles	Leadership	Job requires a willingness to lead, take charge, and offer opinions and direction.	offer, 0.72	instead, 0.72	expect, 0.71	given, 0.71	takes, 0.71	think, 0.71	people, 0.7	change, 0.7	better, 0.7	experience, 0.7	based, 0.69	means, 0.69	reason, 0.69	right, 0.69	second, 0.69	business, 0.68	working, 0.68	having, 0.68	choose, 0.68	provide, 0.68	matter, 0.68	taking, 0.68	important, 0.68	gives, 0.68	learn, 0.67	trying, 0.67	actually, 0.67	needed, 0.67	company, 0.67	course, 0.67
Work Styles	Initiative	Job requires a willingness to take on responsibilities and challenges.	requires, 0.74	challenges, 0.72	responsibilities, 0.71	responsibility, 0.7	require, 0.69	opportunity, 0.66	success, 0.64	experience, 0.63	difficult, 0.63	opportunities, 0.63	demands, 0.63	process, 0.62	approach, 0.62	managing, 0.62	working, 0.62	progress, 0.62	business, 0.62	takes, 0.62	leadership, 0.62	failure, 0.62	issues, 0.61	commitment, 0.61	risks, 0.61	given, 0.61	required, 0.61	involves, 0.61	provide, 0.6	learn, 0.6	development, 0.6	ability, 0.6
Work Styles	Social Orientation	Job requires preferring to work with others rather than alone, and being personally connected with others on the job.	working, 0.8	getting, 0.72	instead, 0.72	business, 0.72	needed, 0.72	better, 0.71	having, 0.71	looking, 0.71	think, 0.71	company, 0.7	right, 0.7	trying, 0.7	actually, 0.69	works, 0.69	experience, 0.69	especially, 0.69	based, 0.68	making, 0.68	people, 0.68	probably, 0.68	definitely, 0.68	today, 0.68	gotta, 0.67	worked, 0.67	taking, 0.67	giving, 0.66	needs, 0.66	thought, 0.66	requires, 0.66	guess, 0.66
Work Styles	Cooperation	Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.	working, 0.72	looking, 0.71	having, 0.7	better, 0.7	today, 0.68	experience, 0.68	right, 0.67	especially, 0.66	think, 0.66	excellent, 0.66	people, 0.66	business, 0.66	making, 0.65	getting, 0.65	definitely, 0.65	based, 0.65	actually, 0.65	interesting, 0.65	person, 0.65	loving, 0.65	instead, 0.65	taking, 0.64	giving, 0.64	trying, 0.64	wonderful, 0.64	expect, 0.63	probably, 0.63	certainly, 0.63	makes, 0.63	usually, 0.63
Work Styles	Innovation	Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.	working, 0.78	think, 0.77	instead, 0.77	better, 0.77	having, 0.76	people, 0.76	stuff, 0.75	looking, 0.75	getting, 0.75	actually, 0.75	right, 0.75	trying, 0.75	thinking, 0.75	business, 0.75	making, 0.75	experience, 0.73	problems, 0.73	interesting, 0.73	learn, 0.73	probably, 0.73	makes, 0.72	reason, 0.72	different, 0.72	taking, 0.72	today, 0.72	definitely, 0.72	future, 0.72	works, 0.72	understand, 0.72	thought, 0.72
Work Styles	Achievement/Effort	Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.	requires, 0.71	effort, 0.69	improving, 0.68	managing, 0.67	success, 0.66	difficult, 0.66	maintaining, 0.66	working, 0.65	creating, 0.64	require, 0.64	challenging, 0.63	progress, 0.63	achieve, 0.63	approach, 0.63	improve, 0.63	focusing, 0.63	goals, 0.63	process, 0.62	successful, 0.62	tasks, 0.62	important, 0.62	trying, 0.62	putting, 0.62	achieving, 0.61	necessary, 0.61	given, 0.61	consider, 0.61	focused, 0.61	career, 0.61	keeping, 0.61
Work Styles	Integrity	Job requires being honest and ethical.	requires, 0.74	honest, 0.74	business, 0.71	based, 0.68	working, 0.67	advice, 0.67	successful, 0.66	process, 0.66	approach, 0.65	provide, 0.65	important, 0.65	looking, 0.65	company, 0.65	person, 0.64	excellent, 0.64	needed, 0.64	interesting, 0.64	better, 0.64	think, 0.64	ethical, 0.64	given, 0.64	experience, 0.64	people, 0.64	consider, 0.63	expect, 0.63	trying, 0.63	trust, 0.63	example, 0.63	quality, 0.63	require, 0.63
Work Styles	Persistence	Job requires persistence in the face of obstacles.	success, 0.69	requires, 0.67	obstacles, 0.67	takes, 0.67	challenges, 0.65	progress, 0.65	failure, 0.64	trying, 0.63	opportunity, 0.63	working, 0.63	matter, 0.62	purpose, 0.62	taking, 0.62	instead, 0.62	putting, 0.62	works, 0.62	persistence, 0.61	difficult, 0.61	effort, 0.61	having, 0.61	comes, 0.61	looking, 0.61	right, 0.61	faith, 0.61	knowing, 0.61	change, 0.61	important, 0.6	experience, 0.6	achieve, 0.6	people, 0.6
Work Styles	Analytical Thinking	Job requires analyzing information and using logic to address work-related issues and problems.	issues, 0.8	problems, 0.8	working, 0.75	instead, 0.75	having, 0.74	business, 0.74	think, 0.74	information, 0.74	stuff, 0.73	right, 0.73	trying, 0.73	understand, 0.72	based, 0.72	getting, 0.72	related, 0.72	actually, 0.71	people, 0.71	reason, 0.71	problem, 0.71	probably, 0.71	better, 0.71	process, 0.7	clearly, 0.7	experience, 0.7	wrong, 0.7	learn, 0.7	especially, 0.7	issue, 0.7	means, 0.7	important, 0.7
Abilities	Visualization	The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.	moved, 0.8	thought, 0.77	actually, 0.76	think, 0.76	remember, 0.75	probably, 0.73	decided, 0.73	trying, 0.73	apparently, 0.72	different, 0.72	instead, 0.72	turned, 0.72	realized, 0.72	right, 0.72	supposed, 0.71	looking, 0.71	literally, 0.71	looked, 0.71	changed, 0.71	moving, 0.71	better, 0.71	definitely, 0.7	started, 0.7	meant, 0.7	having, 0.7	leave, 0.69	getting, 0.69	place, 0.69	understand, 0.69	brought, 0.69
Abilities	Deductive Reasoning	The ability to apply general rules to specific problems to produce answers that make sense.	understand, 0.76	sense, 0.74	problems, 0.74	people, 0.74	reason, 0.72	common, 0.72	learn, 0.72	important, 0.71	instead, 0.71	based, 0.71	actually, 0.71	think, 0.71	certain, 0.7	explain, 0.7	ability, 0.7	usually, 0.7	given, 0.7	different, 0.7	right, 0.7	expect, 0.69	experience, 0.69	person, 0.69	better, 0.69	issues, 0.69	means, 0.69	answer, 0.69	especially, 0.69	having, 0.69	matter, 0.68	specific, 0.68
Abilities	Arm-Hand Steadiness	The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.	hands, 0.8	holding, 0.78	right, 0.72	trying, 0.71	moving, 0.69	stick, 0.68	instead, 0.68	putting, 0.68	finger, 0.67	close, 0.66	shoulder, 0.66	taking, 0.66	fingers, 0.66	chest, 0.66	getting, 0.66	position, 0.65	looking, 0.65	think, 0.65	takes, 0.65	probably, 0.65	inside, 0.64	keeps, 0.64	giving, 0.64	pulling, 0.64	sitting, 0.64	ground, 0.64	standing, 0.64	running, 0.64	handle, 0.64	actually, 0.64
Abilities	Near Vision	The ability to see details at close range (within a few feet of the observer).	close, 0.74	today, 0.72	right, 0.71	looking, 0.71	inside, 0.69	think, 0.69	small, 0.68	trying, 0.68	details, 0.68	range, 0.68	people, 0.67	place, 0.67	ahead, 0.67	having, 0.67	especially, 0.67	instead, 0.67	coming, 0.66	ground, 0.66	point, 0.66	different, 0.66	getting, 0.66	ability, 0.66	matter, 0.65	moving, 0.65	second, 0.65	including, 0.65	better, 0.65	experience, 0.65	actually, 0.65	making, 0.65
Abilities	Speech Clarity	The ability to speak clearly so others can understand you.	understand, 0.9	speak, 0.83	clearly, 0.82	explain, 0.79	learn, 0.79	think, 0.78	ability, 0.76	actually, 0.76	obviously, 0.76	knowing, 0.74	trying, 0.74	people, 0.74	knows, 0.74	words, 0.74	honestly, 0.73	exactly, 0.73	means, 0.73	reason, 0.73	saying, 0.72	talking, 0.72	speaking, 0.72	usually, 0.72	probably, 0.72	expect, 0.72	matter, 0.72	truly, 0.72	wrong, 0.71	doesnt, 0.71	doubt, 0.71	thought, 0.71
Abilities	Selective Attention	The ability to concentrate on a task over a period of time without being distracted.	difficult, 0.73	instead, 0.73	trying, 0.72	period, 0.7	actually, 0.7	concentrate, 0.7	distracted, 0.69	ability, 0.69	better, 0.69	having, 0.69	focus, 0.69	think, 0.68	especially, 0.68	usually, 0.68	class, 0.68	working, 0.68	right, 0.68	matter, 0.68	easier, 0.68	today, 0.67	means, 0.67	studying, 0.67	understand, 0.67	learn, 0.67	homework, 0.67	finish, 0.67	hours, 0.66	making, 0.66	start, 0.66	second, 0.66
Abilities	Wrist-Finger Speed	The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.	hands, 0.77	fingers, 0.77	words, 0.71	instead, 0.71	trying, 0.71	right, 0.7	people, 0.69	making, 0.68	makes, 0.68	especially, 0.67	finger, 0.67	think, 0.67	learn, 0.67	matter, 0.66	wrong, 0.66	tongue, 0.66	actually, 0.66	mouth, 0.66	understand, 0.66	reason, 0.66	better, 0.66	having, 0.65	stick, 0.65	person, 0.65	stuff, 0.65	cause, 0.65	probably, 0.65	small, 0.65	getting, 0.65	quick, 0.65
Abilities	Trunk Strength	The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.	trying, 0.78	instead, 0.75	right, 0.75	having, 0.74	people, 0.74	think, 0.74	actually, 0.74	better, 0.72	getting, 0.72	makes, 0.72	giving, 0.72	making, 0.71	reason, 0.71	working, 0.7	probably, 0.7	person, 0.7	cause, 0.7	putting, 0.7	means, 0.69	remember, 0.69	learn, 0.69	taking, 0.69	especially, 0.68	gives, 0.68	understand, 0.68	gotta, 0.68	gonna, 0.68	today, 0.68	saying, 0.68	wrong, 0.68
Abilities	Originality	The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.	learn, 0.75	people, 0.75	understand, 0.74	interesting, 0.74	trying, 0.74	think, 0.74	different, 0.74	create, 0.73	difficult, 0.73	better, 0.72	person, 0.72	reason, 0.72	usually, 0.72	wrong, 0.72	right, 0.72	change, 0.71	especially, 0.71	actually, 0.71	instead, 0.71	creative, 0.71	important, 0.71	having, 0.7	given, 0.7	stuff, 0.7	explain, 0.7	probably, 0.7	possible, 0.7	experience, 0.7	making, 0.7	problem, 0.7
Abilities	Explosive Strength	The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.	trying, 0.73	instead, 0.7	putting, 0.69	ability, 0.69	think, 0.68	having, 0.67	actually, 0.67	right, 0.67	makes, 0.67	making, 0.67	people, 0.67	learn, 0.66	takes, 0.66	force, 0.66	reason, 0.66	probably, 0.66	moving, 0.66	running, 0.66	taking, 0.66	small, 0.66	throw, 0.65	thought, 0.65	usually, 0.65	cause, 0.65	matter, 0.64	getting, 0.64	person, 0.64	better, 0.64	understand, 0.64	thinking, 0.64
Abilities	Number Facility	The ability to add, subtract, multiply, or divide quickly and correctly.	multiply, 0.73	subtract, 0.7	quickly, 0.66	divide, 0.63	learn, 0.63	ability, 0.6	create, 0.59	manage, 0.58	correctly, 0.58	explain, 0.57	understand, 0.57	easier, 0.57	improve, 0.56	effectively, 0.56	instead, 0.56	change, 0.56	adding, 0.56	accept, 0.56	properly, 0.55	increase, 0.55	difference, 0.55	allow, 0.55	easily, 0.55	teach, 0.54	answer, 0.54	words, 0.54	choose, 0.54	respond, 0.54	correct, 0.53	added, 0.53
Abilities	Control Precision	The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.	instead, 0.7	change, 0.7	different, 0.68	ability, 0.68	quickly, 0.68	trying, 0.68	changes, 0.66	right, 0.66	process, 0.66	clearly, 0.66	position, 0.65	works, 0.65	takes, 0.64	certain, 0.64	multiple, 0.64	think, 0.64	usually, 0.64	actually, 0.64	person, 0.64	wrong, 0.63	working, 0.63	probably, 0.63	apparently, 0.63	expect, 0.63	switch, 0.63	improve, 0.63	learn, 0.63	changing, 0.63	given, 0.63	exactly, 0.63
Abilities	Glare Sensitivity	The ability to see objects in the presence of glare or bright lighting.	presence, 0.73	light, 0.69	ability, 0.67	bright, 0.67	lighting, 0.66	objects, 0.64	sight, 0.64	appear, 0.61	glare, 0.6	makes, 0.59	purpose, 0.59	darkness, 0.59	people, 0.59	reason, 0.58	shine, 0.58	clearly, 0.58	clear, 0.58	especially, 0.58	brings, 0.58	small, 0.58	simply, 0.58	usually, 0.58	turns, 0.57	instead, 0.57	looking, 0.57	person, 0.57	effect, 0.57	outside, 0.57	gives, 0.57	given, 0.57
Abilities	Memorization	The ability to remember information such as words, numbers, pictures, and procedures.	people, 0.78	remember, 0.76	words, 0.75	numbers, 0.75	think, 0.75	actually, 0.74	instead, 0.73	understand, 0.73	stuff, 0.73	especially, 0.72	reason, 0.72	pictures, 0.72	thought, 0.72	trying, 0.72	wrong, 0.71	information, 0.71	learn, 0.71	forget, 0.71	different, 0.71	saying, 0.7	right, 0.7	explain, 0.7	better, 0.7	important, 0.7	answer, 0.7	probably, 0.69	knowing, 0.69	apparently, 0.69	picture, 0.69	change, 0.69
Abilities	Auditory Attention	The ability to focus on a single source of sound in the presence of other distracting sounds.	sound, 0.76	right, 0.75	think, 0.75	making, 0.75	better, 0.75	actually, 0.74	makes, 0.74	trying, 0.73	instead, 0.73	especially, 0.72	reason, 0.72	means, 0.72	people, 0.72	having, 0.71	sounds, 0.71	understand, 0.71	different, 0.71	working, 0.7	focus, 0.7	definitely, 0.7	today, 0.7	person, 0.7	probably, 0.7	clearly, 0.7	looking, 0.69	thought, 0.69	cause, 0.69	future, 0.69	talking, 0.69	wrong, 0.69
Abilities	Fluency of Ideas	The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).	important, 0.75	right, 0.73	people, 0.73	ideas, 0.73	think, 0.72	better, 0.72	stuff, 0.72	interesting, 0.71	different, 0.7	change, 0.7	comes, 0.69	business, 0.69	today, 0.69	instead, 0.69	number, 0.69	answer, 0.69	especially, 0.68	actually, 0.68	learn, 0.68	means, 0.68	trying, 0.68	making, 0.68	wrong, 0.68	reason, 0.68	experience, 0.68	common, 0.68	sense, 0.67	bring, 0.67	probably, 0.67	definitely, 0.67
Abilities	Far Vision	The ability to see details at a distance.	ability, 0.78	distance, 0.75	details, 0.7	matter, 0.68	experience, 0.66	important, 0.66	certain, 0.66	knowing, 0.64	difference, 0.64	value, 0.63	expect, 0.63	information, 0.63	understand, 0.63	learn, 0.63	possible, 0.63	reason, 0.62	doubt, 0.62	person, 0.62	given, 0.62	different, 0.62	change, 0.62	people, 0.61	strength, 0.61	based, 0.61	trying, 0.61	difficult, 0.61	significant, 0.61	think, 0.6	explain, 0.6	usually, 0.6
Abilities	Perceptual Speed	The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.	different, 0.74	instead, 0.73	people, 0.72	especially, 0.71	ability, 0.71	think, 0.71	given, 0.71	actually, 0.71	difference, 0.7	clearly, 0.7	understand, 0.7	knowing, 0.7	usually, 0.69	thought, 0.69	learn, 0.69	based, 0.69	reason, 0.68	trying, 0.68	compared, 0.68	remember, 0.68	seeing, 0.68	including, 0.68	interesting, 0.68	matter, 0.68	person, 0.68	expect, 0.68	having, 0.68	simply, 0.67	certain, 0.67	words, 0.67
Abilities	Spatial Orientation	The ability to know your location in relation to the environment or to know where other objects are in relation to you.	think, 0.75	matter, 0.74	people, 0.73	understand, 0.72	person, 0.72	change, 0.72	based, 0.71	important, 0.71	business, 0.71	place, 0.7	actually, 0.7	right, 0.7	certain, 0.7	especially, 0.7	relation, 0.7	experience, 0.69	cause, 0.69	different, 0.69	reason, 0.69	means, 0.68	wrong, 0.68	thought, 0.68	better, 0.68	information, 0.67	looking, 0.67	future, 0.67	exactly, 0.67	course, 0.67	trying, 0.67	relationship, 0.67
Abilities	Stamina	The ability to exert yourself physically over long periods of time without getting winded or out of breath.	having, 0.76	getting, 0.76	trying, 0.75	actually, 0.74	think, 0.74	probably, 0.72	taking, 0.71	better, 0.71	instead, 0.71	literally, 0.71	right, 0.7	cause, 0.7	people, 0.7	understand, 0.7	gonna, 0.7	longer, 0.7	hours, 0.7	seriously, 0.69	tired, 0.69	reason, 0.69	makes, 0.69	knowing, 0.69	gotta, 0.69	especially, 0.68	thought, 0.68	worse, 0.68	supposed, 0.68	today, 0.68	period, 0.68	wanting, 0.68
Abilities	Oral Comprehension	The ability to listen to and understand information and ideas presented through spoken words and sentences.	words, 0.83	understand, 0.79	learn, 0.77	people, 0.75	speak, 0.74	think, 0.74	write, 0.73	explain, 0.72	listen, 0.72	especially, 0.71	answer, 0.71	given, 0.71	actually, 0.71	meaning, 0.71	different, 0.7	interesting, 0.7	trying, 0.7	thought, 0.7	exactly, 0.7	thoughts, 0.7	heard, 0.7	spoken, 0.7	knowing, 0.7	reason, 0.7	language, 0.7	clearly, 0.69	usually, 0.69	remember, 0.69	instead, 0.69	right, 0.69
Abilities	Depth Perception	The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.	matter, 0.73	person, 0.7	knowing, 0.7	think, 0.7	judge, 0.69	reason, 0.69	close, 0.69	understand, 0.69	moving, 0.69	right, 0.68	trying, 0.68	people, 0.68	apart, 0.68	expect, 0.68	instead, 0.68	better, 0.67	closer, 0.67	leave, 0.67	ability, 0.67	makes, 0.67	means, 0.66	wrong, 0.66	especially, 0.66	certain, 0.66	learn, 0.65	longer, 0.65	thought, 0.65	remember, 0.65	different, 0.65	distance, 0.65
Abilities	Problem Sensitivity	The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.	wrong, 0.84	problem, 0.82	think, 0.81	understand, 0.8	trying, 0.77	people, 0.77	instead, 0.77	reason, 0.76	means, 0.76	actually, 0.75	probably, 0.75	problems, 0.75	better, 0.75	having, 0.75	right, 0.75	clearly, 0.75	person, 0.75	thought, 0.74	usually, 0.74	guess, 0.74	knowing, 0.74	obviously, 0.74	worry, 0.74	thinking, 0.74	saying, 0.74	exactly, 0.73	matter, 0.73	telling, 0.73	talking, 0.73	especially, 0.73
Abilities	Night Vision	The ability to see under low light conditions.	light, 0.75	conditions, 0.7	ability, 0.69	clear, 0.67	power, 0.65	people, 0.65	right, 0.65	pressure, 0.64	possible, 0.63	certain, 0.63	reason, 0.63	especially, 0.63	current, 0.63	matter, 0.63	cause, 0.63	change, 0.63	given, 0.62	based, 0.62	weather, 0.62	usually, 0.62	today, 0.62	experience, 0.62	better, 0.62	think, 0.62	condition, 0.62	speed, 0.62	problems, 0.61	falling, 0.61	expect, 0.61	instead, 0.61
Abilities	Extent Flexibility	The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.	hands, 0.74	stretch, 0.71	trying, 0.7	touch, 0.7	reach, 0.68	right, 0.68	chest, 0.68	think, 0.67	close, 0.67	wanna, 0.66	shape, 0.66	loose, 0.66	gotta, 0.66	fingers, 0.66	inside, 0.65	tight, 0.65	shoulders, 0.65	better, 0.65	makes, 0.65	gonna, 0.64	stick, 0.64	probably, 0.64	small, 0.64	actually, 0.64	getting, 0.64	instead, 0.64	moves, 0.64	leave, 0.64	having, 0.63	matter, 0.63
Abilities	Manual Dexterity	The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.	hands, 0.77	trying, 0.7	ability, 0.68	stick, 0.67	instead, 0.67	right, 0.66	handle, 0.66	takes, 0.66	easily, 0.65	quickly, 0.65	holding, 0.65	fingers, 0.65	think, 0.64	learn, 0.64	people, 0.64	putting, 0.64	understand, 0.64	touch, 0.64	throw, 0.63	actually, 0.63	properly, 0.63	person, 0.63	words, 0.63	clearly, 0.63	small, 0.63	given, 0.63	mouth, 0.62	close, 0.62	finger, 0.62	inside, 0.62
Abilities	Speed of Limb Movement	The ability to quickly move the arms and legs.	quickly, 0.72	hands, 0.71	fingers, 0.68	easily, 0.67	ability, 0.67	trying, 0.67	shoulders, 0.66	chest, 0.66	instead, 0.65	close, 0.64	knees, 0.64	probably, 0.63	right, 0.63	literally, 0.63	actually, 0.63	moving, 0.63	think, 0.63	moves, 0.62	having, 0.62	inside, 0.62	strength, 0.62	small, 0.61	makes, 0.61	better, 0.61	takes, 0.61	holding, 0.61	learn, 0.61	especially, 0.61	getting, 0.61	running, 0.61
